"OBJECTID","RUN","TRENCH_ARE","TRENCH_P","ROTATION","MID_X","MID_Y","F_INT","A_INT","F_INT_P","A_INT_P"
206,206,514.4,0.1,105,120288,188555,52,32.7,11.6,10.7
207,207,452.1,0.1,87,120289,188525,69,32.2,15.4,10.5
208,208,489.4,0.1,6,120297,188547,69,27.4,15.4,9
209,209,519.7,0.1,105,120294,188552,56,22,12.5,7.2
210,210,485.3,0.1,38,120301,188541,61,29.1,13.6,9.5
211,211,480.8,0.1,100,120300,188539,50,25.2,11.1,8.2
212,212,476.6,0.1,169,120291,188524,70,34.9,15.6,11.4
213,213,458.9,0.1,153,120293,188560,55,26.2,12.2,8.6
214,214,494.9,0.1,30,120299,188520,93,35.7,20.7,11.7
215,215,468.9,0.1,55,120283,188544,81,44.2,18,14.5
216,216,464.8,0.1,18,120299,188546,75,22.8,16.7,7.5
217,217,486.5,0.1,0,120300,188543,57,22.9,12.7,7.5
218,218,474.5,0.1,71,120287,188568,68,37.4,15.1,12.2
219,219,475.9,0.1,84,120282,188520,83,35.3,18.5,11.5
220,220,486.9,0.1,2,120299,188564,69,33.6,15.4,11
221,221,500.6,0.1,160,120285,188559,91,36.5,20.3,11.9
222,222,491.9,0.1,17,120294,188530,55,21.5,12.2,7
223,223,505.9,0.1,107,120294,188568,69,34.7,15.4,11.4
224,224,483,0.1,143,120299,188552,88,28,19.6,9.2
225,225,487,0.1,177,120299,188553,76,34.8,16.9,11.4
226,226,501.1,0.1,9,120296,188567,60,23.6,13.4,7.7
227,227,516.8,0.1,155,120301,188549,76,34,16.9,11.1
228,228,503.7,0.1,111,120281,188531,44,24.6,9.8,8.1
229,229,489.1,0.1,17,120287,188548,56,22.9,12.5,7.5
230,230,506.9,0.1,114,120290,188520,70,37.9,15.6,12.4
231,231,449.4,0.1,69,120292,188551,79,30.7,17.6,10
232,232,486.6,0.1,179,120300,188538,53,28.6,11.8,9.4
233,233,482.2,0.1,102,120289,188568,48,17.2,10.7,5.6
234,234,452.6,0.1,117,120300,188524,65,46.6,14.5,15.3
235,235,476.5,0.1,36,120295,188555,62,31.5,13.8,10.3
236,236,504.5,0.1,135,120296,188555,69,25.8,15.4,8.5
237,237,485.7,0.1,37,120288,188522,75,26.5,16.7,8.7
238,238,486.8,0.1,2,120285,188541,76,34.6,16.9,11.3
239,239,489.7,0.1,137,120300,188522,58,36.9,12.9,12.1
240,240,474.7,0.1,49,120286,188566,55,26.5,12.2,8.7
241,241,500.4,0.1,87,120292,188552,56,32.1,12.5,10.5
242,242,529.9,0.1,66,120292,188529,62,23.7,13.8,7.8
243,243,516.4,0.1,170,120298,188551,88,30.4,19.6,10
244,244,473,0.1,62,120295,188557,94,43.3,20.9,14.2
245,245,458,0.1,156,120290,188536,70,27.6,15.6,9.1
246,246,477.2,0.1,128,120292,188533,79,34.6,17.6,11.3
247,247,492.4,0.1,46,120289,188552,76,24.1,16.9,7.9
248,248,488.4,0.1,124,120299,188561,72,31.8,16,10.4
249,249,488.3,0.1,134,120292,188521,74,29.4,16.5,9.6
250,250,481.6,0.1,120,120294,188561,82,29.1,18.3,9.5
